Company : M001272 - GENTING MALAYSIA BERHAD,,,,,,,,,,,,
Account Opening Branch : Wisma Genting,,,,,,,,,,,,
Account No. : /WIDURI PELANGI SDN BHD 800548341(MYR),,,,,,,,,,,,
Period : 31-08-2020 - 31-08-2020,,,,,,,,,,,,
Opening Available Balance : 32351.96,,,,,,,,,,,,
Closing Available Balance : 32351.96,,,,,,,,,,,,
Account Number,Record Sequence Number,Transaction Date,Transaction Code,Transaction Code Description,Originating Branch Code,Document Reference Number,Transaction Amount,Transaction Amount Type,Balance,Balance Type,Filler,Record Type
No Record Found,,,,,,,,,,,,
